Theta1,Theta2,Theta3,x1,y1,z1,MaxError1,x2,y2,z2,MaxError2,x3,y3,z3,MaxError3,x4,y4,z4,MaxError4,x5,y5,z5,MaxError5,x6,y6,z6,MaxError6,x7,y7,z7,MaxError7,x8,y8,z8,MaxError8,x9,y9,z9,MaxError9,x10,y10,z10,MaxError10
-40.0,-40.0,-40.0,-0.05558932615458884,0.0,-630.0607038985191,0.05605743467393099,-0.11117899890954933,0.0,-630.0534717135376,0.11211558495244779,0.08338450905519304,-0.1444262062478543,-630.0462366612423,0.16817444870010542,-0.22235938360372426,0.0,-630.0389987415247,0.22423402588342242,0.13897504761753898,-0.24071184345795443,-630.0317579542765,0.28029431646820535,-0.3335411528503702,0.0,-630.024514299389,0.3363553204202639,0.19456627814796976,0.3369986791917163,-630.017267776754,0.39241703770606934,0.2223621527084904,-0.385142546171495,-630.0100183862628,0.4484794682912779,0.25015820002996964,0.43328671238188576,-630.0027661278071,0.5045426121420485,-0.5559088400706983,0.0,-629.9955110012784,0.560606469224553
-40.0,-40.0,-36.0,7.983233634097049,13.731259492741794,-634.0472104816884,0.055576456331903994,8.011277270737537,13.683725106535588,-634.0406637942907,0.11115363276477846,8.039321046328578,13.636190341766653,-634.0341142939076,0.1667315344443338,8.067364960792665,13.588655198556555,-634.0275619804263,0.2223101613426353,8.095409014051873,13.541119677027268,-634.021006853734,0.277889513431229,8.123453206028158,13.493583777300827,-634.0144489137181,0.3334695906815184,8.15149753664386,13.446047499498604,-634.0078881602658,0.38905039306570566,8.179542005821006,13.39851084374323,-634.0013245932646,0.4446319205547424,8.207586613481748,13.350973810155923,-633.9947582126015,0.5002141731209137,8.235631359548345,13.303436398858889,-633.9881890181639,0.5557971507356699
-40.0,-40.0,-32.0,16.38640449993928,28.286175593339046,-637.9316838248426,0.0551213557942435,16.41466601594718,28.239215781538086,-637.9258094683767,0.11024345001816407,16.442927637382095,28.19225551309508,-637.9199323521386,0.1653662814280981,16.471189364165845,28.145294788120257,-637.914052476012,0.22048985000170032,16.49945119621978,28.098333606724328,-637.90816983988,0.2756141557160057,16.527713133465046,28.051371969018113,-637.9022844436261,0.33073919854783895,16.55597517582337,28.004409875111932,-637.8963962871336,0.3858649784747742,16.58423732321607,27.957447325116814,-637.890505370286,0.4409914954735772,16.61249957556449,27.91048431914326,-637.8846116929669,0.4961187495214419,16.640761932790227,27.863520857301822,-637.8787152550594,0.5512467405957548
-40.0,-40.0,-28.0,25.143180424492826,43.6449565602495,-641.660697056631,0.05468686625777479,25.088760780329373,43.6463902329581,-641.655483372154,0.10937448451380953,25.0343406373029,43.64782370154585,-641.6502669808178,0.16406285189764808,24.979919995538758,43.649256965994184,-641.6450478825026,0.2187519683922752,24.925498855163212,43.65069002628446,-641.6398260770881,0.27344183397979616,24.87107721630208,43.6521228823976,-641.6346015644542,0.3281324486427533,24.81665507908121,43.653555534315174,-641.6293743444811,0.3828238123636701,24.76223244362673,43.65498798201855,-641.6241444170485,0.4375159251248384,24.707809310064444,43.65642022548867,-641.6189117820363,0.49220878690882497,24.653385678520294,43.657852264707,-641.6136764393245,0.5469023976981181
-40.0,-40.0,-24.0,34.49258974724386,59.64746934694508,-645.1814279710306,0.05426835183140071,34.521205622656105,59.60158423578009,-645.1768646224286,0.10853745813843178,34.549821538736104,59.55569851390996,-645.1722986202741,0.16280732537750722,34.5784374954043,59.5098121814228,-645.1677299644435,0.21707795353704834,34.607053492581144,59.46392523840798,-645.163158654814,0.271349342604391,34.6356695301866,59.41803768495444,-645.158584691262,0.32562149256700984,34.66428560814124,59.37214952115073,-645.154008073665,0.37989440341300473,34.69290172636529,59.32626074708621,-645.1494288018995,0.4341680751296442,34.72151788477901,59.28037136284971,-645.1448468758424,0.48844250770467185,34.75013408330297,59.23448136853014,-645.1402622953706,0.5427177011259451
-40.0,-40.0,-20.0,44.17761332929611,76.42268872433398,-648.4412404966034,0.05386167853199871,44.2063703958002,76.37731460250681,-648.4373182746602,0.10772412952629874,44.23512747180323,76.33193979440003,-648.4333934534544,0.16158735299531918,44.26388455722535,76.28656430009136,-648.42946603286,0.21545134893244478,44.2926416519865,76.24118811965928,-648.425536012751,0.269316117330323,44.32139875600641,76.19581125318257,-648.4216033930019,0.323181658181245,44.35015586920518,76.15043370073893,-648.417668173487,0.3770479714785962,44.37891299150265,76.10505546240738,-648.4137303540804,0.43091505721455087,44.4076701228187,76.05967653826592,-648.4097899346564,0.4847829153821581,44.4364272630734,76.01429692839288,-648.4058469150893,0.538651545974296
-40.0,-40.0,-16.0,54.19128115056483,93.95694209437686,-651.387346029942,0.05346321082675893,54.13798041218603,93.95951304654955,-651.3840566496401,0.10692720362970944,54.08467902552054,93.96208360042571,-651.3807647258488,0.16039198007524913,54.0313769906669,93.96465375596996,-651.3774702584407,0.2138575401615528,53.97807430772425,93.96722351314644,-651.374173247287,0.26732388388623257,53.9247709767917,93.96979287191964,-651.3708736922603,0.3207910112469078,53.87146699796798,93.97236183225388,-651.3675715932327,0.37425892224158885,53.81816237135245,93.97493039411371,-651.3642669500762,0.42772761686769806,53.76485709704377,93.97749855746319,-651.3609597626627,0.48119709512333914,53.71155117514097,93.98006632226677,-651.3576500308643,0.5346673570062764
-40.0,-40.0,-12.0,64.69092454307915,112.14253833081348,-653.966536603741,0.05306965556331323,64.63800061960298,112.14544238673774,-653.9638724977276,0.10614010567054796,64.58507599948142,112.14834598256384,-653.9612059059019,0.1592113501091632,64.53215068280409,112.15124911825106,-653.9585368281341,0.21228338888234258,64.47922466966143,112.15415179375859,-653.9558652642949,0.26535622199241726,64.42629796014366,112.15705400904537,-653.9531912142542,0.3184298494419995,64.37337055434053,112.15995576407032,-653.9505146778827,0.37150427123410695,64.32044245234249,112.16285705879265,-653.9478356550509,0.4245794873711097,64.2675136542396,112.16575789317136,-653.945154145629,0.47765549785580375,64.2145841601219,112.16865826716551,-653.9424701494872,0.5307323026909663
-40.0,-40.0,-8.0,75.58683943569228,131.01446821021636,-656.1249838328827,0.052678062257823316,75.53429888046065,131.01768799181403,-656.122937943219,0.10535692518283897,75.48175758125544,131.02090725329435,-656.1208896276702,0.15803659255221802,75.42921553815745,131.0241259946112,-656.1188388861051,0.210717064373937,75.3766727512483,131.02734421571884,-656.116785718393,0.2633983406552083,75.3241292206092,131.03056191657066,-656.114730124403,0.31608042140357745,75.27158494632131,131.03377909712083,-656.1126721040043,0.3687633066267119,75.21903992846629,131.03699575732355,-656.1106116570664,0.4214469963318069,75.16649416712528,131.04021189713225,-656.1085487834584,0.4741314905265099,75.11394766237946,131.04342751650108,-656.106483483049,0.5268167892185278
-40.0,-40.0,-4.0,86.87146821674241,150.55964009878878,-657.8080991118693,0.05228573364951467,86.81932008035837,150.56316108682694,-657.8066646817258,0.1045722813651413,86.76717115389842,150.56668149672586,-657.8052278881532,0.15685964297154015,86.71502143743453,150.57020132843414,-657.80378873102,0.2091478184814557,86.66287093103958,150.57372058190091,-657.8023472101944,0.2614368079067738,86.61071963478615,150.57723925707526,-657.8009033255454,0.3137266112596598,86.55856754874634,150.5807573539058,-657.799457076941,0.36601722855277335,86.50641467299322,150.58427487234187,-657.7980084642503,0.418308659797835,86.45426100759914,150.58779181233237,-657.7965574873417,0.4706009050072629,86.40210655263633,150.59130817382587,-657.7951041460833,0.5228939641936345
